=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:12:48 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
2237.42,-19.19
2237.42,-21.13
2237.42,-20.91
2237.42,-21.24
2237.42,-21.88
2237.42,-21.67
2237.42,-20.81
2237.43,-21.56
2237.44,-21.45
2237.44,-22.10
2237.44,-21.24
2237.44,-21.45
2237.44,-20.91
2237.44,-21.78
2237.44,-21.56
2237.44,-21.45
2237.45,-21.34
2237.45,-20.81
2237.45,-21.88
2237.45,-21.56
2237.45,-20.27
2237.45,-20.91
2237.45,-22.31
2237.45,-21.88
2237.45,-21.24
2237.46,-21.67
2237.46,-21.24
2237.46,-21.13
2237.46,-21.56
2237.46,-21.13
2237.46,-21.56
2237.46,-19.19
2237.46,-19.84
2237.46,-21.13
2237.46,-19.62
2237.47,-21.24
2237.47,-21.56
2237.47,-20.59
2237.47,-20.16
2237.47,-21.02
2237.48,-21.45
2237.48,-21.34
2237.48,-21.02
2237.48,-20.59
2237.49,-21.02
2237.49,-22.31
2237.49,-22.31
2237.49,-21.67
2237.49,-20.16
2237.49,-19.40
2237.49,-21.99
2237.49,-21.34
2237.49,-21.56
2237.50,-21.24
2237.50,-22.42
2237.50,-21.34
2237.50,-19.73
2237.50,-19.51
2237.50,-20.70
2237.50,-21.88
2237.50,-21.02
2237.50,-20.91
2237.50,-21.34
2237.51,-21.13
2237.51,-21.45
2237.51,-21.13
2237.51,-20.91
2237.51,-19.94
2237.51,-21.24
2237.51,-21.56
2237.51,-21.45
2237.51,-21.45
2237.53,-21.45
2237.53,-21.88
2237.53,-20.16
2237.53,-21.13
2237.53,-21.88
2237.53,-21.99
2237.53,-20.59
2237.53,-21.24
2237.53,-21.56
2237.54,-21.13
2237.54,-20.81
2237.54,-21.34
2237.54,-21.88
2237.54,-20.27
2237.54,-20.91
2237.54,-21.88
2237.54,-21.24
2237.54,-20.91
2237.54,-21.88
2237.55,-20.91
2237.55,-21.24
2237.55,-21.24
