=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:43:46 =~=~=~=~=~=~=~=~=~=~=~=,
494.1,-20.91
494.1,-20.37
494.1,-20.7
494.11,-19.84
494.11,-18.65
494.12,-21.13
494.12,-20.81
494.12,-19.62
494.12,-18.76
494.12,-20.81
494.12,-20.37
494.12,-20.16
494.12,-20.27
494.13,-18.54
494.13,-19.19
494.13,-20.27
494.13,-20.16
494.13,-20.81
494.13,-18.54
494.13,-20.81
494.13,-20.27
494.13,-20.59
494.13,-20.81
494.14,-20.48
494.14,-20.48
494.14,-20.91
494.14,-20.37
494.14,-20.37
494.14,-20.37
494.14,-19.73
494.14,-20.48
494.14,-20.37
494.14,-20.59
494.15,-19.94
494.15,-20.05
494.15,-20.37
494.15,-20.7
494.15,-19.73
494.15,-19.4
494.15,-20.59
494.16,-20.48
494.16,-20.7
494.16,-18.97
494.17,-20.7
494.17,-18.97
494.17,-19.51
494.17,-20.59
494.17,-21.45
494.17,-20.7
494.17,-20.48
494.17,-20.37
494.17,-20.81
494.17,-20.48
494.18,-20.59
494.18,-19.84
494.18,-20.59
494.18,-21.13
494.18,-20.7
494.18,-20.16
494.18,-20.91
494.18,-20.81
494.18,-20.59
494.18,-19.3
494.18,-20.91
494.19,-19.19
494.19,-20.48
494.19,-20.48
494.19,-20.81
494.19,-19.08
494.19,-20.7
494.19,-21.02
494.19,-21.02
494.2,-18.86
494.2,-19.94
494.21,-20.7
494.21,-19.73
494.21,-20.91
494.21,-20.91
494.21,-20.59
494.21,-19.19
494.21,-20.16
494.21,-20.59
494.21,-19.19
494.21,-20.48
494.22,-20.59
494.22,-20.81
494.22,-18.54
494.22,-20.16
494.22,-20.37
494.22,-20.27
494.22,-20.81
494.22,-20.16
494.22,-20.37
494.22,-20.59
494.23,-20.7
494.23,-21.13
494.23,-20.59
494.23,-20.37
494.23,-19.73
494.23,-20.37
494.24,-20.91
494.24,-20.59
494.24,-20.16
494.24,-20.48
494.25,-18.54
494.25,-20.37
494.25,-21.56
494.25,-20.37
494.25,-20.7
494.25,-20.59
494.25,-18.65
494.25,-19.19
494.25,-20.37
494.25,-20.59
494.26,-20.59
494.26,-20.91
494.26,-20.48
494.26,-19.4
494.26,-19.4
494.26,-20.16
494.26,-20.7
494.26,-21.02
494.26,-20.7
494.26,-20.81
494.27,-20.48
494.27,-19.84
494.27,-19.84
494.27,-20.48
494.27,-20.59
494.27,-20.7
494.27,-18.43
494.27,-19.84
494.27,-20.7
494.27,-20.27
494.27,-20.91
494.29,-20.16
494.29,-20.27
494.29,-20.59
494.29,-20.37
494.29,-20.81
494.29,-20.27
494.29,-20.16
494.29,-18.65
494.29,-18.97
494.29,-20.37
494.3,-20.16
494.3,-20.81
494.3,-19.62
494.3,-20.37
494.3,-20.59
494.3,-19.51
494.3,-20.27
494.3,-20.27
494.3,-20.48
494.3,-20.91
494.31,-20.37
494.31,-20.59
494.31,-20.16
494.31,-19.73
494.31,-19.73
494.31,-19.19
494.31,-20.81
494.31,-20.27
494.31,-20.7
494.31,-19.73
494.32,-20.81
494.33,-20.37
494.33,-19.51
494.33,-20.48
494.33,-19.73
494.33,-20.59
494.33,-20.59
494.33,-20.16
494.33,-20.27
494.33,-18.54
494.34,-20.37
494.34,-18.11
494.34,-20.27
494.34,-19.51
494.34,-20.7
494.34,-20.59
494.34,-20.91
494.34,-20.48
494.34,-20.37
494.34,-19.62
494.35,-20.27
494.35,-20.59
494.35,-20.59
494.35,-19.73
494.35,-19.84
494.35,-20.27
494.35,-19.51
494.35,-20.59
494.35,-20.59
494.35,-20.81
494.37,-19.19
494.37,-19.3
494.37,-20.81
494.37,-20.81
494.37,-20.48
494.37,-19.94
494.37,-19.4
494.37,-20.37
494.37,-20.91
494.37,-19.94
494.37,-19.3
494.38,-20.7
494.38,-21.99
494.38,-18.65
494.38,-18.86
494.38,-20.27
494.38,-20.59
494.38,-20.7
494.38,-20.59
494.38,-20.91
494.38,-20.7
494.39,-20.91
494.39,-20.59
494.39,-20.27
494.39,-20.81
494.39,-20.91
494.39,-18.22
494.39,-20.91
494.39,-18
494.39,-20.59
494.39,-19.73
494.4,-20.37
494.4,-20.81
494.4,-20.37
494.4,-19.08
494.41,-18.97
494.41,-18.86
494.41,-20.16
494.41,-20.37
494.41,-20.16
494.41,-20.81
494.42,-19.4
494.42,-20.7
494.42,-18.86
494.42,-20.91
494.42,-20.27
494.42,-20.81
494.42,-20.37
494.42,-19.84
494.42,-18.43
494.42,-19.94
494.43,-20.05
494.43,-20.48
494.43,-20.16
494.43,-19.62
494.43,-21.02
494.43,-20.37
494.43,-20.59
494.43,-20.16
494.43,-20.16
494.43,-20.48
494.44,-20.48
494.44,-21.24
494.44,-19.08
494.44,-19.73
494.44,-18.54
494.44,-20.37
494.45,-20.59
494.45,-18.65
494.45,-18.65
494.45,-20.05
494.46,-19.94
494.46,-20.59
494.46,-17.89
494.46,-20.16
494.46,-20.27
494.46,-20.27
494.46,-20.91
494.46,-20.59
494.46,-19.62
494.46,-20.59
494.46,-20.27
494.47,-20.81
494.47,-20.81
494.47,-20.27
494.47,-20.7
494.47,-20.59
494.47,-20.91
494.47,-20.59
494.47,-20.7
494.47,-20.81
494.47,-18.22
494.48,-21.02
494.48,-18.86
494.48,-20.48
494.49,-20.59
494.49,-20.48
494.49,-20.81
494.49,-19.19
494.49,-19.73
494.49,-20.37
494.49,-20.27
494.5,-20.48
494.5,-20.81
494.5,-19.4
494.5,-19.51
494.5,-20.37
494.5,-20.37
494.5,-20.48
494.5,-20.59
494.5,-20.59
494.5,-20.37
494.51,-20.27
494.51,-20.81
494.51,-20.59
494.51,-20.59
494.51,-20.81
494.51,-18.54
494.51,-18.65
494.51,-20.16
494.51,-20.27
494.51,-21.02
494.52,-21.24
494.52,-20.81
494.52,-19.08
494.52,-20.48
494.52,-20.91
494.52,-19.51
494.52,-20.59
494.52,-20.91
494.53,-19.94
494.53,-20.59
494.54,-20.91
494.54,-19.08
494.54,-20.27
494.54,-19.94
494.54,-20.48
494.54,-21.13
494.54,-19.73
494.54,-20.91
494.54,-20.37
494.54,-19.73
494.55,-20.59
494.55,-20.81
494.55,-20.37
494.55,-19.84
494.55,-18.65
494.55,-19.3
494.55,-20.37
494.55,-20.7
494.55,-18.43
494.55,-19.19
494.55,-20.48
494.56,-19.19
494.56,-20.37
494.56,-20.59
494.56,-19.3
494.56,-19.94
494.56,-20.48
494.56,-17.57
494.56,-21.02
494.56,-19.84
494.57,-19.4
494.58,-20.7
494.58,-20.16
494.58,-19.3
494.58,-20.59
494.58,-18.54
494.58,-20.27
494.58,-20.37
494.58,-18.43
494.58,-20.16
494.58,-20.81
494.59,-20.59
494.59,-20.7
494.59,-21.78
494.59,-18.54
494.59,-20.81
494.59,-20.37
494.59,-20.91
494.59,-20.48
494.59,-20.48
494.59,-18.86
494.6,-19.19
494.6,-20.59
494.6,-20.59
494.6,-20.91
494.6,-20.81
494.6,-20.37
494.6,-20.48
494.61,-19.84
494.61,-20.37
494.61,-20.91
494.62,-20.27
494.62,-20.81
494.62,-20.81
494.62,-17.89
494.62,-19.94
494.62,-20.91
494.62,-20.16
494.62,-19.84
494.62,-20.81
494.62,-20.59
494.63,-19.94
494.63,-20.59
494.63,-19.19
494.63,-20.7
494.63,-20.37
494.63,-20.16
494.63,-20.16
494.63,-20.37
494.63,-20.59
494.63,-19.94
494.64,-20.91
494.64,-20.27
494.64,-20.37
494.64,-20.91
494.64,-18.65
494.64,-20.91
494.64,-20.81
494.64,-20.59
494.64,-20.37
494.64,-20.7
494.64,-19.94
494.66,-20.81
494.66,-20.7
494.66,-20.59
494.66,-19.08
494.66,-20.91
494.66,-20.37
494.66,-20.27
494.66,-19.84
494.66,-20.59
494.66,-20.81
494.67,-20.59
494.67,-20.37
494.67,-19.19
494.67,-20.48
494.67,-19.4
494.67,-20.7
494.67,-20.59
494.67,-19.62
494.67,-20.37
494.67,-20.91
494.68,-20.81
494.68,-20.59
494.68,-20.7
494.68,-19.94
494.68,-20.59
494.68,-20.7
494.68,-18.65
494.68,-20.59
494.68,-20.7
494.68,-20.48
494.69,-19.84
494.69,-20.48
494.7,-20.48
494.7,-20.59
494.7,-20.37
494.7,-20.7
494.7,-20.59
494.7,-20.37
494.7,-20.16
494.7,-20.37
494.71,-20.81
494.71,-20.91
494.71,-20.05
494.71,-20.59
494.71,-20.91
494.71,-19.94
494.71,-20.7
494.71,-18.86
494.71,-20.91
494.71,-20.81
494.72,-20.16
494.72,-20.91
494.72,-20.16
494.72,-20.91
494.72,-18.86
494.72,-20.81
494.72,-20.27
494.72,-19.3
494.72,-20.27
494.72,-20.91
494.74,-19.73
494.74,-20.7
494.74,-18.43
494.74,-20.7
494.74,-20.27
494.74,-19.3
494.74,-21.02
494.74,-19.3
494.74,-19.94
494.74,-19.84
494.74,-19.73
494.75,-20.7
494.75,-19.94
494.75,-20.59
494.75,-20.16
494.75,-19.4
494.75,-20.27
494.75,-20.7
494.75,-20.59
494.75,-20.48
494.75,-18.43
494.76,-20.59
494.76,-20.81
494.76,-20.16
494.76,-20.81
494.76,-20.91
494.76,-20.81
494.76,-20.81
494.76,-20.27
494.76,-20.81
494.76,-20.16
494.77,-20.91
494.77,-20.16
494.77,-20.37
494.77,-20.7
494.78,-19.94
494.78,-20.37
494.78,-19.84
494.78,-20.59
494.78,-20.7
494.78,-19.08
494.79,-20.27
494.79,-19.94
494.79,-20.81
494.79,-20.91
494.79,-18.43
494.79,-21.13
494.79,-19.73
494.79,-20.59
494.79,-19.62
494.79,-20.59
494.8,-18.86
494.8,-18.43
494.8,-20.16
494.8,-20.81
494.8,-20.81
494.8,-20.7
494.8,-20.27
494.8,-20.91
494.8,-20.91
494.8,-20.81
494.81,-20.37
494.81,-18.43
494.81,-19.73
494.81,-20.16
494.81,-20.37
494.81,-20.27
494.82,-18.43
494.82,-19.84
494.82,-20.48
494.82,-20.91
494.83,-20.27
494.83,-20.7
494.83,-19.62
494.83,-20.48
494.83,-20.59
494.83,-20.59
494.83,-20.16
494.83,-20.81
494.83,-20.05
494.83,-20.37
494.83,-20.37
494.84,-19.73
494.84,-20.16
494.84,-20.91
494.84,-20.37
494.84,-20.7
494.84,-19.62
494.84,-20.91
494.84,-20.81
494.84,-20.16
494.84,-20.48
494.85,-20.81
494.85,-20.7
494.85,-20.27
494.86,-19.4
494.86,-20.16
494.86,-20.7
494.86,-19.94
494.86,-19.3
494.86,-19.94
494.86,-20.27
494.87,-20.27
494.87,-20.27
494.87,-20.16
494.87,-20.59
494.87,-19.62
494.87,-20.81
494.87,-20.37
494.87,-19.84
494.87,-20.91
494.87,-20.81
494.88,-20.81
494.88,-20.05
494.88,-19.73
494.88,-20.91
494.88,-20.16
494.88,-20.91
494.88,-19.08
494.88,-19.19
494.88,-20.81
494.88,-20.48
494.89,-20.27
494.89,-19.84
494.89,-20.16
494.89,-19.94
494.89,-20.59
494.89,-20.59
494.89,-20.59
494.89,-20.91
494.89,-20.81
494.9,-19.4
494.91,-19.4
494.91,-19.62
494.91,-19.73
494.91,-20.27
494.91,-20.59
494.91,-20.37
494.91,-20.91
494.91,-20.91
494.91,-20.7
494.91,-20.81
494.92,-20.48
494.92,-20.27
494.92,-20.7
494.92,-20.48
494.92,-20.37
494.92,-20.91
494.92,-20.37
494.92,-20.59
494.92,-19.19
494.92,-20.27
494.92,-20.81
494.93,-20.48
494.93,-20.7
494.93,-20.7
494.93,-20.91
494.93,-20.59
494.93,-20.91
494.93,-19.62
494.93,-20.81
494.93,-20.37
494.94,-20.81
494.95,-20.37
494.95,-20.81
494.95,-19.19
494.95,-17.89
494.95,-20.27
494.95,-19.94
494.95,-20.27
494.95,-20.91
494.95,-20.7
494.95,-19.51
494.96,-20.59
494.96,-20.48
494.96,-20.05
494.96,-20.37
494.96,-19.51
494.96,-20.37
494.96,-20.37
494.96,-20.16
494.96,-20.37
494.96,-20.81
494.97,-20.48
494.97,-20.81
494.97,-20.16
494.97,-20.91
494.97,-20.81
494.97,-20.48
494.97,-20.91
494.97,-20.16
494.98,-20.48
494.98,-20.27
494.99,-20.81
494.99,-20.91
494.99,-20.27
494.99,-20.91
494.99,-20.37
494.99,-18.22
494.99,-19.4
494.99,-20.91
494.99,-20.91
494.99,-20.7
495,-20.48
495,-18.97
495,-20.59
495,-18.86
495,-18.43
495,-20.7
495,-19.73
495,-20.81
495,-20.59
495,-20.59
495.01,-20.7
495.01,-20.48
495.01,-20.59
495.01,-20.59
495.01,-19.3
495.01,-20.16
495.01,-20.16
495.01,-20.59
495.01,-18.54
495.01,-20.59
495.01,-20.81
495.02,-20.37
495.03,-20.16
495.03,-20.91
495.03,-21.02
495.03,-20.37
495.03,-20.48
495.03,-19.3
495.03,-19.73
495.03,-20.7
495.03,-20.59
495.04,-19.84
495.04,-20.81
495.04,-19.3
495.04,-20.59
495.04,-20.7
495.04,-19.94
495.04,-20.27
495.04,-20.37
495.04,-20.91
495.04,-17.46
495.05,-20.59
495.05,-20.59
495.05,-20.7
495.05,-20.16
495.05,-20.91
495.05,-20.37
495.05,-20.81
495.05,-20.59
495.05,-19.19
495.05,-20.37
495.06,-20.7
495.06,-20.27
495.06,-20.7
495.07,-19.84
495.07,-20.81
495.07,-20.7
495.07,-20.59
495.07,-20.37
495.07,-20.7
495.07,-18.22
495.08,-20.91
495.08,-20.91
495.08,-20.27
495.08,-18.86
495.08,-18.86
495.08,-19.94
495.08,-20.7
495.08,-20.7
495.08,-20.91
495.08,-20.48
495.09,-19.3
495.09,-20.7
495.09,-20.7
495.09,-20.81
495.09,-20.81
495.09,-20.16
495.09,-20.7
495.09,-20.27
495.09,-19.08
495.09,-20.27
495.1,-20.81
495.11,-19.62
495.11,-18.97
495.11,-19.19
495.11,-20.81
495.11,-20.91
495.11,-20.59
495.11,-19.51
495.11,-20.27
495.11,-19.84
495.11,-20.27
495.12,-20.16
495.12,-20.37
495.12,-20.37
495.12,-20.7
495.12,-20.91
495.12,-20.59
495.12,-18.22
495.12,-19.19
495.12,-20.7
495.12,-20.37
495.13,-20.37
495.13,-19.62
495.13,-20.7
495.13,-20.37
495.13,-19.19
495.13,-20.48
495.13,-20.05
495.13,-20.59
495.13,-20.81
495.13,-20.91
495.14,-20.91
495.14,-19.84
495.14,-20.7
495.14,-20.59
495.14,-19.84
495.15,-20.16
495.15,-20.37
495.15,-20.91
495.15,-18.43
495.15,-20.81
495.16,-18.86
495.16,-20.37
495.16,-20.37
495.16,-20.59
495.16,-19.73
495.16,-20.59
495.16,-20.91
495.16,-20.7
495.16,-20.59
495.16,-20.81
495.17,-19.94
495.17,-20.7
495.17,-20.81
495.17,-20.7
495.17,-20.27
495.17,-20.48
495.17,-20.91
495.17,-20.37
495.17,-18.11
495.17,-18.54
495.18,-19.3
495.18,-18.76
495.18,-20.27
495.18,-20.59
495.18,-20.59
495.18,-20.48
495.18,-21.13
495.19,-20.7
495.19,-21.24
495.19,-20.37
495.2,-20.81
495.2,-20.37
495.2,-20.59
495.2,-20.59
495.2,-20.81
495.2,-19.3
495.2,-20.81
495.2,-20.91
495.2,-20.59
495.2,-20.27
495.2,-20.16
495.21,-20.37
495.21,-20.81
495.21,-20.7
495.21,-19.84
495.21,-21.13
495.21,-19.3
495.21,-20.91
495.21,-20.81
495.21,-19.19
495.21,-19.51
495.22,-18.11
495.22,-20.81
495.22,-20.48
495.22,-20.37
495.23,-20.37
495.23,-20.7
495.23,-19.19
495.23,-20.37
495.23,-20.59
495.23,-21.56
495.24,-20.7
495.24,-20.16
495.24,-18.22
495.24,-19.62
495.24,-20.7
495.24,-20.7
495.24,-19.73
495.24,-20.91
495.24,-19.84
495.24,-20.7
495.25,-20.48
495.25,-20.81
495.25,-20.81
495.25,-19.94
495.25,-20.7
495.25,-18.97
495.25,-20.16
495.25,-20.59
495.25,-20.59
495.25,-20.91
495.26,-18.43
495.26,-20.37
495.26,-20.59
495.26,-20.37
495.26,-20.05
495.26,-20.59
495.26,-19.84
495.26,-20.59
495.26,-20.91
495.27,-19.73
495.28,-20.81
495.28,-19.84
495.28,-20.81
495.28,-20.16
495.28,-20.16
495.28,-20.91
495.28,-20.59
495.28,-20.48
495.28,-19.94
495.28,-19.19
495.29,-20.81
495.29,-20.81
495.29,-20.7
495.29,-20.37
495.29,-20.81
495.29,-19.19
495.29,-20.7
495.29,-20.91
495.29,-20.16
495.29,-20.37
495.29,-20.37
495.3,-20.59
495.3,-20.91
495.3,-20.27
495.3,-20.59
495.3,-20.91
495.3,-20.48
495.3,-19.84
495.31,-20.81
495.31,-20.59
495.31,-18.65
495.32,-18.86
495.32,-20.59
495.32,-20.91
495.32,-18.22
495.32,-20.91
495.32,-20.16
495.32,-18.86
495.32,-19.84
495.32,-20.48
495.32,-20.37
495.33,-20.48
495.33,-20.91
495.33,-20.81
495.33,-20.59
495.33,-20.91
495.33,-20.37
495.33,-20.91
495.33,-20.7
495.33,-20.7
495.33,-20.05
495.34,-20.48
495.34,-20.27
495.34,-20.7
495.34,-20.37
495.34,-20.16
495.34,-20.27
495.34,-20.59
495.34,-20.16
495.35,-20.91
495.35,-19.84
495.36,-20.7
495.36,-20.27
495.36,-20.59
495.36,-20.16
495.36,-19.19
495.36,-20.81
495.36,-20.48
495.36,-20.91
495.36,-19.84
495.36,-19.94
495.37,-20.7
495.37,-19.73
495.37,-20.16
495.37,-21.24
495.37,-20.7
495.37,-20.59
495.37,-20.27
495.37,-20.91
495.37,-20.16
495.37,-20.59
495.38,-20.81
495.38,-20.37
495.38,-20.59
495.38,-20.81
495.38,-18.76
495.38,-19.94
495.38,-20.91
495.38,-20.91
495.38,-18.54
495.38,-20.05
495.38,-20.59
495.39,-20.81
495.39,-19.4
495.4,-20.59
495.4,-20.7
495.4,-19.84
495.4,-20.37
495.4,-20.37
495.4,-19.94
495.4,-19.84
495.4,-20.81
495.41,-19.08
495.41,-20.27
495.41,-20.91
495.41,-20.16
495.41,-19.19
495.41,-20.7
495.41,-20.37
495.41,-20.59
495.41,-19.51
495.41,-20.81
495.42,-20.59
495.42,-19.94
495.42,-19.3
495.42,-20.91
495.42,-20.16
495.42,-20.91
495.42,-20.27
495.42,-20.81
495.42,-18.11
495.42,-20.37
495.43,-20.48
495.43,-19.84
495.43,-20.81
495.43,-20.91
495.44,-19.94
495.44,-19.94
495.44,-20.37
495.44,-20.7
495.44,-19.19
495.44,-20.48
495.45,-20.16
495.45,-20.37
495.45,-20.59
495.45,-20.27
495.45,-20.48
495.45,-20.59
495.45,-20.37
495.45,-20.59
495.45,-20.48
495.45,-20.37
495.46,-20.16
495.46,-20.91
495.46,-20.27
495.46,-20.05
495.46,-20.59
495.46,-20.7
495.46,-17.46
495.46,-20.27
495.46,-20.91
495.46,-20.59
495.47,-20.59
495.47,-19.19
495.48,-20.16
495.48,-19.94
495.48,-20.7
495.48,-20.16
495.48,-20.37
495.48,-20.81
495.48,-20.91
495.48,-20.59
495.48,-20.48
495.49,-17.25
495.49,-18.43
495.49,-19.62
495.49,-20.59
495.49,-19.73
495.49,-18.97
495.49,-20.91
495.49,-20.81
495.49,-20.16
495.49,-19.08
495.5,-20.59
495.5,-20.37
495.5,-19.94
495.5,-20.37
495.5,-18.65
495.5,-20.05
495.5,-20.59
495.5,-18.76
495.5,-19.51
495.5,-20.7
495.51,-20.81
495.51,-20.59
495.51,-20.81
495.51,-20.16
495.51,-19.4
495.51,-19.19
495.52,-20.91
495.52,-20.81
495.52,-20.59
495.52,-18.97
495.53,-20.59
495.53,-20.91
495.53,-19.08
495.53,-19.51
495.53,-19.84
495.53,-20.16
495.53,-20.59
495.53,-20.81
495.53,-20.27
495.53,-19.19
495.54,-20.91
495.54,-20.81
495.54,-20.7
495.54,-20.59
495.54,-19.94
495.54,-20.81
495.54,-20.48
495.54,-21.02
495.54,-20.37
495.54,-20.81
495.55,-20.91
495.55,-20.48
495.55,-20.81
495.55,-18.11
495.56,-20.59
495.56,-20.59
495.56,-20.81
495.56,-20.16
495.56,-20.37
495.56,-20.81
495.57,-20.7
495.57,-18.65
495.57,-19.94
495.57,-20.81
495.57,-20.59
495.57,-20.81
495.57,-20.91
495.57,-20.05
495.57,-20.27
495.57,-20.59
495.57,-20.81
495.58,-20.91
495.58,-20.81
495.58,-20.48
495.58,-21.02
495.58,-18.43
495.58,-20.27
495.58,-20.91
495.58,-20.81
495.58,-20.59
495.58,-19.84
495.59,-20.59
495.59,-20.81
495.59,-20.37
495.59,-19.73
495.59,-19.51
495.6,-20.48
495.6,-20.59
495.6,-20.59
495.6,-20.59
495.6,-20.91
495.61,-18.76
495.61,-20.16
495.61,-19.94
495.61,-20.7
495.61,-20.81
495.61,-20.16
495.61,-20.59
495.61,-19.4
495.61,-20.37
495.61,-20.81
495.62,-20.37
495.62,-19.08
495.62,-20.37
495.62,-19.84
495.62,-20.27
495.62,-20.81
495.62,-20.91
495.62,-20.16
495.62,-20.27
495.62,-20.81
495.63,-20.27
495.63,-20.59
495.63,-20.7
495.63,-18.97
495.63,-18.22
495.63,-18.97
495.63,-19.51
495.63,-20.7
495.63,-20.91
495.63,-20.59
495.65,-20.91
495.65,-20.81
495.65,-20.16
495.65,-19.62
495.65,-19.62
495.65,-20.05
495.65,-20.59
495.65,-20.59
495.65,-20.91
495.65,-19.08
495.66,-21.02
495.66,-20.91
495.66,-20.7
495.66,-20.7
495.66,-20.91
495.66,-19.94
495.66,-20.59
495.66,-20.16
495.66,-20.37
495.66,-20.48
495.66,-20.37
495.67,-20.81
495.67,-20.7
495.67,-20.16
495.67,-19.3
495.67,-20.59
495.67,-20.7
495.67,-20.37
495.68,-20.59
495.68,-20.7
495.68,-20.81
495.69,-20.59
495.69,-19.73
495.69,-20.16
495.69,-20.7
495.69,-20.81
495.69,-20.7
495.69,-19.84
495.69,-20.27
495.69,-20.81
495.69,-20.81
495.7,-18.76
495.7,-20.48
495.7,-20.7
495.7,-20.59
495.7,-20.48
495.7,-20.48
495.7,-19.73
495.7,-18.54
495.7,-19.73
495.7,-20.37
495.71,-20.91
495.71,-20.27
495.71,-20.7
495.71,-20.37
495.71,-19.73
495.71,-20.37
495.71,-20.59
495.71,-18.86
495.71,-20.91
495.71,-19.51
495.73,-20.7
495.73,-20.7
495.73,-20.37
495.73,-20.59
495.73,-19.51
495.73,-20.91
495.73,-20.81
495.73,-20.7
495.73,-20.59
495.73,-20.81
495.74,-20.91
495.74,-20.81
495.74,-19.51
495.74,-20.81
495.74,-20.48
495.74,-20.37
495.74,-20.37
495.74,-20.81
495.74,-20.91
495.74,-20.81
495.75,-21.02
495.75,-19.3
495.75,-18.65
495.75,-18.86
495.75,-20.91
495.75,-20.48
495.75,-20.37
495.75,-19.73
495.75,-20.59
495.75,-20.81
495.75,-19.19
495.76,-20.81
495.76,-20.37
495.76,-19.94
495.77,-19.19
495.77,-20.59
495.77,-19.73
495.77,-20.7
495.77,-19.84
495.77,-20.16
495.77,-20.37
495.78,-20.7
495.78,-20.48
495.78,-20.37
495.78,-20.16
495.78,-20.27
495.78,-20.16
495.78,-20.48
495.78,-20.27
495.78,-18.43
495.78,-19.19
495.79,-20.16
495.79,-18.86
495.79,-20.91
495.79,-20.7
495.79,-20.37
495.79,-19.84
495.79,-20.27
495.79,-20.91
495.79,-20.37
495.79,-20.81
495.8,-20.27
495.81,-20.59
495.81,-20.7
495.81,-20.7
495.81,-19.94
495.81,-20.37
495.81,-20.91
495.81,-20.81
495.81,-20.7
495.81,-18.86
495.82,-20.48
495.82,-20.16
495.82,-19.73
495.82,-20.37
495.82,-20.7
495.82,-20.91
495.82,-20.27
495.82,-20.27
495.82,-20.37
495.82,-19.51
495.83,-18.97
495.83,-18.76
495.83,-19.19
495.83,-20.81
495.83,-20.7
495.83,-20.59
495.83,-20.91
495.83,-19.3
495.83,-20.37
495.83,-19.73
495.84,-20.7
495.84,-20.81
495.84,-20.37
495.85,-19.4
495.85,-20.91
495.85,-19.3
495.85,-20.59
495.85,-20.27
495.85,-21.13
495.85,-20.59
495.85,-20.48
495.86,-18.54
495.86,-20.91
495.86,-20.16
495.86,-20.59
495.86,-20.48
495.86,-17.79
495.86,-21.24
495.86,-19.51
495.86,-23.18
495.86,-19.73
495.87,-19.3
495.87,-20.16
495.87,-20.37
495.87,-20.37
495.87,-20.48
495.87,-20.59
495.87,-19.84
495.87,-20.16
495.87,-20.37
495.87,-19.94
495.88,-18.33
495.88,-18.97
495.88,-19.94
495.88,-20.59
495.88,-20.59
495.88,-19.84
495.88,-20.37
495.89,-19.51
495.89,-20.7
495.89,-20.59
495.9,-19.08
495.9,-20.91
495.9,-20.48
495.9,-20.91
495.9,-20.91
495.9,-20.59
495.9,-20.37
495.9,-20.91
495.9,-20.81
495.9,-20.59
495.91,-18.65
495.91,-19.08
495.91,-20.27
495.91,-20.91
495.91,-20.48
495.91,-20.37
495.91,-20.27
495.91,-20.81
495.91,-20.91
495.91,-20.37
495.92,-20.7
