=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9461.37,-1.83
9461.37,-1.72
9461.37,0.22
9461.37,-1.29
9461.37,-1.29
9461.37,-1.40
9461.37,-1.51
9461.37,-1.94
9461.37,-1.72
9461.38,-1.62
9461.38,-1.40
9461.38,-0.22
9461.38,-0.54
9461.38,-0.86
9461.38,-1.72
9461.38,-1.62
9461.38,-1.62
9461.38,-1.51
9461.39,-1.94
9461.40,-1.62
9461.40,0.11
9461.40,-1.94
9461.40,-2.48
9461.40,1.19
9461.40,0.11
9461.40,-2.05
9461.40,-1.72
9461.40,-1.08
9461.40,-1.40
9461.41,-1.29
9461.41,0.97
9461.41,-1.72
9461.41,-0.22
9461.41,-0.75
9461.41,-1.51
9461.41,-1.83
9461.41,-2.48
9461.41,-1.94
9461.41,3.23
9461.42,-1.72
9461.42,-1.83
9461.42,-1.40
9461.42,-0.22
9461.42,-1.19
9461.42,-1.19
9461.42,-1.72
9461.42,-1.62
9461.42,-1.62
9461.42,-1.83
9461.44,-1.19
9461.44,-1.83
9461.44,-1.94
9461.44,-1.62
9461.44,-1.40
9461.44,-0.22
9461.44,-0.86
9461.44,-1.29
9461.44,-2.05
9461.44,-1.83
9461.44,-1.94
9461.45,0.75
9461.45,-1.51
9461.45,-2.05
9461.45,-0.54
9461.45,-1.29
9461.45,-1.40
9461.45,-1.62
9461.45,-1.19
9461.45,0.32
9461.45,-2.16
9461.46,-1.72
9461.46,-1.83
9461.46,0.11
9461.46,-1.40
9461.46,-1.72
9461.46,-1.40
9461.46,-1.62
9461.46,-1.40
9461.46,-1.72
9461.46,-1.83
9461.47,-1.19
9461.48,-2.05
9461.48,-1.72
9461.48,-0.97
9461.48,-1.83
9461.48,-2.05
9461.48,-1.72
9461.48,0.32
9461.48,-0.75
9461.48,-0.54
9461.49,0.54
9461.49,-0.22
9461.49,-0.22
9461.49,-1.94
9461.49,-1.72
9461.49,-1.83
9461.49,-0.54
9461.49,-1.62
9461.49,0.22
9461.49,-0.43
9461.49,-1.51
9461.50,-1.83
