=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:14:27 =~=~=~=~=~=~=~=~=~=~=~=
,28.89
10317.05,29.11
10317.06,28.78
10317.07,29.11
10317.07,27.92
10317.07,29.00
10317.07,29.00
10317.07,29.00
10317.07,29.11
10317.07,29.11
10317.07,29.11
10317.07,28.78
10317.07,29.43
10317.08,29.21
10317.08,29.11
10317.08,29.11
10317.08,30.18
10317.08,29.00
10317.08,28.78
10317.08,28.57
10317.08,28.57
10317.08,29.43
10317.09,29.11
10317.09,28.03
10317.09,28.35
10317.09,28.57
10317.09,28.78
10317.09,29.11
10317.09,28.89
10317.09,28.78
10317.09,28.46
10317.10,28.78
10317.10,28.03
10317.10,27.60
10317.10,30.51
10317.11,29.65
10317.11,29.00
10317.11,29.11
10317.11,28.89
10317.11,29.00
10317.12,28.78
10317.12,28.57
10317.12,29.00
10317.12,29.11
10317.12,28.89
10317.12,29.43
10317.12,28.46
10317.12,29.54
10317.12,29.11
10317.13,29.11
10317.13,29.11
10317.13,28.67
10317.13,28.89
10317.13,29.00
10317.13,28.57
10317.13,28.78
10317.13,29.65
10317.13,28.89
10317.13,29.00
10317.14,30.08
10317.14,29.21
10317.14,28.78
10317.14,29.32
10317.14,29.11
10317.14,28.57
10317.14,28.78
10317.14,29.11
10317.14,29.00
10317.16,29.43
10317.16,30.18
10317.16,29.86
10317.16,29.00
10317.16,28.78
10317.16,28.89
10317.16,29.43
10317.16,29.65
10317.16,28.57
10317.17,29.21
10317.17,28.67
10317.17,28.67
10317.17,29.11
10317.17,28.46
10317.17,28.89
10317.17,28.78
10317.17,29.11
10317.17,28.35
10317.18,29.54
10317.18,29.11
10317.18,28.78
10317.18,28.89
10317.18,28.78
10317.18,29.32
10317.18,30.83
10317.18,27.49
10317.18,28.35
10317.19,29.11
10317.19,27.92
10317.19,29.43
10317.19,28.78
10317.19,29.11
10317.19,29.00
10317.20,29.11
10317.20,28.78
10317.20,29.11
10317.20,30.18
10317.21,29.11
10317.21,28.89
10317.21,29.00
10317.21,28.89
10317.21,30.51
10317.21,28.78
10317.21,28.57
10317.21,29.00
10317.21,29.00
10317.22,28.57
10317.22,29.11
10317.22,28.78
10317.22,29.00
10317.22,28.57
10317.22,28.46
10317.22,28.78
10317.22,29.11
10317.22,28.78
10317.23,28.78
10317.23,28.67
10317.23,29.11
10317.23,28.78
10317.23,28.67
10317.23,29.11
10317.23,29.00
10317.23,28.57
10317.23,28.78
10317.25,30.72
10317.25,29.00
10317.25,28.89
10317.25,28.67
10317.25,29.21
10317.25,29.00
10317.25,28.67
10317.25,28.78
10317.25,29.11
10317.26,28.57
10317.26,29.21
10317.26,30.83
10317.26,29.21
10317.26,29.21
10317.26,30.18
10317.26,30.18
10317.26,29.65
10317.26,29.00
10317.26,29.11
10317.27,28.67
10317.27,28.78
10317.27,29.21
10317.27,28.57
10317.27,28.89
10317.27,29.11
10317.27,28.67
10317.27,29.11
10317.27,28.67
10317.28,29.00
10317.28,28.78
10317.28,28.78
10317.28,29.21
10317.28,29.11
10317.28,30.83
10317.28,29.86
10317.28,29.54
10317.29,28.78
10317.30,29.11
10317.30,29.11
10317.30,28.57
10317.30,29.00
10317.30,28.57
