=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
2728.42,-21.24
2728.42,-19.73
2728.42,-21.24
2728.42,-21.13
2728.42,-21.45
2728.42,-20.91
2728.42,-21.56
2728.42,-20.91
2728.42,-19.62
2728.43,-20.91
2728.44,-21.02
2728.44,-21.45
2728.44,-20.91
2728.44,-21.45
2728.44,-20.16
2728.44,-20.7
2728.44,-20.91
2728.44,-21.02
2728.45,-20.91
2728.45,-21.67
2728.45,-19.73
2728.45,-20.91
2728.45,-21.13
2728.45,-20.81
2728.45,-20.59
2728.45,-21.24
2728.45,-21.02
2728.46,-21.24
2728.46,-20.91
2728.46,-21.56
2728.46,-21.24
2728.46,-20.05
2728.46,-21.13
2728.46,-21.67
2728.46,-21.24
2728.46,-21.02
2728.46,-21.45
2728.47,-19.4
2728.47,-21.02
2728.47,-20.91
2728.47,-20.81
2728.47,-21.24
2728.48,-20.16
2728.48,-21.13
2728.48,-21.34
2728.48,-20.81
2728.49,-20.91
2728.49,-21.24
2728.49,-19.4
2728.49,-20.91
2728.49,-21.02
2728.49,-21.24
2728.49,-21.24
2728.49,-21.56
2728.49,-21.56
2728.5,-21.45
2728.5,-21.02
2728.5,-21.45
2728.5,-21.24
2728.5,-21.24
2728.5,-21.56
2728.5,-20.91
2728.5,-20.91
2728.5,-21.13
2728.5,-21.45
2728.51,-21.56
2728.51,-21.88
2728.51,-20.81
2728.51,-20.91
2728.51,-21.02
2728.51,-21.88
2728.51,-21.13
2728.51,-21.45
2728.51,-21.13
2728.53,-21.13
2728.53,-21.56
2728.53,-21.13
2728.53,-21.45
2728.53,-21.45
2728.53,-21.45
2728.53,-21.24
2728.53,-21.34
2728.53,-21.02
2728.54,-21.56
2728.54,-21.34
2728.54,-21.13
2728.54,-20.91
2728.54,-21.67
2728.54,-21.24
2728.54,-20.91
2728.54,-21.67
2728.54,-21.13
2728.54,-22.1
2728.55,-21.24
2728.55,-21.78
2728.55,-21.88
2728.55,-19.08
2728.55,-19.51
2728.55,-21.56
2728.55,-21.45
2728.55,-21.34
2728.55,-20.91
2728.56,-21.67
2728.56,-21.13
2728.56,-20.91
2728.57,-21.34
2728.57,-20.91
2728.57,-21.34
2728.57,-21.56
2728.57,-21.13
2728.57,-21.78
2728.58,-21.45
2728.58,-21.24
2728.58,-21.13
2728.58,-21.13
2728.58,-21.56
2728.58,-20.91
2728.58,-19.73
2728.58,-21.56
2728.58,-21.34
2728.58,-21.13
2728.59,-21.88
2728.59,-21.45
2728.59,-20.7
2728.59,-21.24
2728.59,-21.56
2728.59,-21.45
2728.59,-21.13
2728.59,-19.84
2728.59,-21.24
2728.6,-21.02
2728.6,-21.24
2728.6,-21.24
2728.6,-20.91
2728.6,-21.24
2728.6,-21.02
2728.6,-21.56
2728.61,-21.24
2728.61,-20.91
2728.62,-21.67
2728.62,-21.02
2728.62,-21.02
2728.62,-21.24
2728.62,-21.13
2728.62,-21.67
2728.62,-21.02
2728.62,-20.91
2728.62,-20.91
2728.62,-21.56
2728.63,-21.34
