=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:54:52 =~=~=~=~=~=~=~=~=~=~=~=
,-20.91
1161.75,-20.91
1161.75,-20.91
1161.75,-20.81
1161.76,-21.13
1161.76,-21.45
1161.76,-19.51
1161.76,-21.02
1161.76,-21.02
1161.76,-20.91
1161.76,-21.24
1161.76,-20.27
1161.76,-20.37
1161.77,-20.91
1161.77,-21.88
1161.77,-20.91
1161.77,-21.13
1161.77,-20.81
1161.77,-21.24
1161.77,-20.91
1161.77,-20.91
1161.77,-21.24
1161.77,-20.91
1161.78,-20.91
1161.78,-20.91
1161.79,-20.59
1161.79,-21.13
1161.79,-20.70
1161.79,-20.70
1161.79,-21.24
1161.79,-21.45
1161.79,-21.02
1161.80,-22.10
1161.80,-21.45
1161.80,-21.24
1161.80,-20.91
1161.80,-21.13
1161.80,-21.13
1161.80,-21.13
1161.80,-20.91
1161.80,-20.91
1161.81,-19.51
1161.81,-21.13
1161.81,-20.59
1161.81,-20.91
1161.81,-21.24
1161.81,-19.08
1161.81,-20.91
1161.81,-21.24
1161.81,-20.91
1161.81,-20.81
1161.82,-20.91
1161.82,-21.02
1161.82,-21.24
1161.82,-21.67
1161.82,-19.30
1161.82,-20.37
1161.83,-21.02
1161.83,-21.02
1161.83,-20.91
1161.84,-20.91
1161.84,-20.91
1161.84,-21.34
1161.84,-20.91
1161.84,-19.73
1161.84,-19.73
1161.84,-21.02
1161.84,-20.91
1161.84,-21.24
1161.85,-21.13
1161.85,-21.02
1161.85,-21.45
1161.85,-20.48
1161.85,-21.02
1161.85,-21.02
1161.85,-21.24
1161.85,-21.13
1161.85,-20.91
1161.85,-19.51
1161.86,-21.24
1161.86,-20.91
1161.86,-20.81
1161.86,-21.88
1161.86,-20.59
1161.86,-21.13
1161.86,-21.02
1161.86,-19.73
1161.86,-18.97
1161.88,-21.67
1161.88,-21.13
1161.88,-21.45
1161.88,-19.51
1161.88,-21.02
1161.88,-20.70
1161.88,-21.24
1161.88,-21.45
1161.88,-21.13
1161.89,-20.91
1161.89,-19.94
1161.89,-21.13
1161.89,-21.45
1161.89,-21.24
1161.89,-21.13
1161.89,-21.24
1161.89,-21.88
1161.89,-20.91
1161.89,-21.34
1161.90,-21.13
1161.90,-21.02
1161.90,-21.45
1161.90,-19.08
1161.90,-21.13
1161.90,-20.91
1161.90,-21.78
1161.90,-20.91
1161.90,-21.13
1161.91,-20.91
1161.91,-20.48
1161.91,-21.02
1161.91,-21.88
1161.92,-20.70
1161.92,-21.02
1161.92,-22.10
1161.92,-20.91
1161.92,-20.37
1161.93,-21.67
1161.93,-19.73
1161.93,-21.34
1161.93,-20.91
1161.93,-21.13
1161.93,-20.91
1161.93,-21.34
1161.93,-19.62
1161.93,-20.81
1161.93,-21.02
1161.94,-21.13
1161.94,-20.91
1161.94,-21.02
1161.94,-20.91
1161.94,-21.45
1161.94,-21.13
1161.94,-21.34
1161.94,-20.91
1161.94,-20.81
1161.95,-20.91
1161.95,-21.24
1161.95,-21.02
1161.95,-20.81
1161.95,-21.56
1161.95,-20.91
1161.95,-21.67
1161.96,-20.91
1161.96,-21.45
1161.97,-20.81
1161.97,-20.91
1161.97,-20.91
1161.97,-21.45
1161.97,-19.73
1161.97,-21.02
1161.97,-21.45
1161.97,-20.91
1161.97,-19.94
1161.97,-20.91
1161.98,-20.91
1161.98,-21.02
1161.98,-21.24
1161.98,-21.02
1161.98,-21.02
1161.98,-20.91
1161.98,-21.13
1161.98,-20.91
1161.98,-21.13
1161.99,-21.34
1161.99,-20.91
1161.99,-21.24
1161.99,-21.34
1161.99,-20.27
1161.99,-20.91
1161.99,-21.34
1161.99,-21.02
1161.99,-21.24
1162.00,-21.02
1162.01,-21.45
1162.01,-20.91
1162.01,-21.24
1162.01,-21.13
1162.01,-20.91
1162.01,-20.91
1162.01,-20.70
1162.01,-21.13
1162.01,-19.51
1162.02,-21.88
1162.02,-21.13
1162.02,-20.37
1162.02,-20.91
1162.02,-21.02
1162.02,-21.02
1162.02,-19.51
1162.02,-20.81
1162.02,-21.56
1162.03,-21.13
1162.03,-21.24
1162.03,-20.91
1162.03,-20.91
1162.03,-20.48
1162.03,-20.16
1162.03,-20.91
1162.03,-21.45
1162.03,-21.13
1162.04,-21.34
1162.04,-18.86
1162.04,-22.31
1162.04,-21.24
1162.04,-21.34
1162.05,-20.70
1162.05,-20.91
1162.05,-21.88
1162.05,-20.91
1162.05,-19.19
1162.06,-19.40
1162.06,-20.91
1162.06,-21.45
1162.06,-19.19
1162.06,-21.13
1162.06,-21.24
1162.06,-21.02
1162.06,-21.13
1162.06,-20.91
1162.07,-19.08
1162.07,-20.91
1162.07,-22.10
1162.07,-20.91
1162.07,-21.13
1162.07,-20.70
1162.07,-20.16
1162.07,-20.37
1162.07,-20.91
1162.08,-21.56
1162.08,-18.43
1162.08,-21.45
1162.08,-21.56
1162.08,-21.45
1162.08,-19.73
1162.08,-20.91
1162.08,-21.67
1162.08,-20.70
1162.09,-18.65
1162.10,-21.56
1162.10,-21.45
1162.10,-20.91
1162.10,-20.91
1162.10,-21.34
1162.10,-21.24
1162.10,-21.45
1162.10,-21.24
1162.10,-21.13
1162.11,-20.48
1162.11,-20.91
1162.11,-21.24
1162.11,-21.67
1162.11,-21.56
1162.11,-21.02
1162.11,-20.91
1162.11,-20.91
1162.11,-21.78
1162.12,-21.24
1162.12,-21.24
1162.12,-21.34
1162.12,-19.62
1162.12,-20.91
1162.12,-21.56
1162.12,-20.91
1162.12,-21.13
1162.12,-21.02
1162.12,-20.16
1162.13,-21.34
1162.13,-21.02
1162.14,-20.91
1162.14,-20.16
1162.14,-21.24
1162.14,-21.02
1162.14,-21.13
1162.14,-21.24
1162.14,-21.45
1162.15,-20.16
1162.15,-20.70
1162.15,-21.24
1162.15,-21.67
1162.15,-21.45
1162.15,-21.99
1162.15,-21.13
1162.15,-20.81
1162.15,-20.37
1162.16,-21.45
1162.16,-21.45
1162.16,-21.78
1162.16,-21.24
1162.16,-21.24
1162.16,-19.19
1162.16,-20.16
1162.16,-21.24
1162.16,-21.45
1162.16,-21.24
1162.17,-21.13
1162.17,-21.13
1162.17,-19.51
1162.17,-20.27
1162.17,-21.13
1162.17,-20.16
1162.18,-21.34
1162.18,-21.45
1162.18,-21.24
1162.19,-21.24
1162.19,-21.13
1162.19,-20.37
1162.19,-21.13
1162.19,-21.24
1162.19,-21.13
1162.19,-21.13
1162.19,-21.99
1162.19,-20.91
1162.20,-20.16
1162.20,-19.40
1162.20,-20.81
1162.20,-21.24
1162.20,-21.24
1162.20,-19.19
1162.20,-20.70
1162.20,-20.27
1162.20,-21.13
1162.20,-21.34
1162.21,-20.91
1162.21,-21.24
1162.21,-21.02
1162.21,-21.24
1162.21,-21.56
1162.21,-21.45
1162.21,-21.67
1162.21,-21.24
1162.21,-21.56
1162.23,-21.02
1162.23,-21.24
1162.23,-21.24
1162.23,-21.67
1162.23,-21.13
1162.23,-21.34
1162.23,-21.88
1162.23,-21.13
1162.23,-20.70
1162.24,-21.45
1162.24,-20.91
1162.24,-20.91
1162.24,-21.24
1162.24,-19.62
1162.24,-20.91
1162.24,-19.40
1162.24,-20.81
1162.24,-21.56
1162.24,-21.45
1162.25,-21.67
1162.25,-21.02
1162.25,-21.02
1162.25,-20.91
1162.25,-20.27
1162.25,-20.91
1162.25,-21.13
1162.25,-21.45
1162.25,-20.91
1162.26,-21.34
1162.26,-20.91
1162.26,-21.24
1162.26,-21.88
1162.27,-19.51
1162.27,-20.37
1162.27,-21.13
1162.27,-20.91
1162.27,-21.45
1162.28,-22.64
1162.28,-21.24
1162.28,-21.13
1162.28,-21.02
1162.28,-20.91
1162.28,-21.02
1162.28,-20.91
1162.28,-20.27
1162.28,-21.24
1162.28,-21.34
1162.29,-21.02
1162.29,-20.37
1162.29,-19.40
1162.29,-20.91
1162.29,-20.70
1162.29,-21.34
1162.29,-19.84
1162.29,-20.91
1162.29,-21.02
1162.30,-20.05
1162.30,-20.70
1162.30,-21.24
1162.30,-21.24
1162.30,-19.62
1162.30,-20.70
1162.30,-22.96
1162.31,-21.99
1162.31,-21.24
1162.32,-20.91
1162.32,-20.91
1162.32,-21.99
1162.32,-21.24
1162.32,-20.48
1162.32,-21.02
1162.32,-20.91
1162.32,-20.91
1162.32,-21.24
1162.32,-20.91
1162.33,-20.48
1162.33,-21.02
1162.33,-21.88
1162.33,-21.02
1162.33,-20.91
1162.33,-20.70
1162.33,-20.27
1162.33,-21.02
1162.33,-21.34
1162.34,-20.81
1162.34,-20.91
1162.34,-21.24
1162.34,-21.45
1162.34,-20.81
1162.34,-21.56
1162.34,-21.24
1162.34,-21.56
1162.34,-19.84
1162.35,-21.02
1162.36,-20.37
1162.36,-20.81
1162.36,-20.91
1162.36,-21.56
1162.36,-21.56
1162.36,-21.99
1162.36,-21.02
1162.36,-20.91
1162.36,-20.91
1162.37,-21.02
1162.37,-20.91
1162.37,-20.16
1162.37,-20.70
1162.37,-21.24
1162.37,-20.91
1162.37,-21.02
1162.37,-20.59
1162.37,-19.51
1162.38,-19.30
1162.38,-21.24
1162.38,-20.91
1162.38,-21.67
1162.38,-21.24
1162.38,-19.51
1162.38,-20.81
1162.38,-21.02
1162.38,-21.02
1162.39,-19.40
1162.39,-20.91
1162.39,-21.02
1162.39,-21.24
1162.39,-20.91
1162.40,-19.19
1162.40,-20.91
1162.40,-20.91
1162.40,-21.13
1162.40,-21.24
1162.41,-21.67
1162.41,-21.02
1162.41,-21.45
1162.41,-21.24
1162.41,-20.91
1162.41,-21.56
1162.41,-21.24
1162.41,-21.45
1162.41,-21.24
1162.42,-20.91
1162.42,-21.13
1162.42,-20.91
1162.42,-21.13
1162.42,-21.13
1162.42,-20.91
1162.42,-21.13
1162.42,-20.70
1162.42,-21.13
1162.43,-21.67
1162.43,-21.02
1162.43,-21.02
1162.43,-21.02
1162.43,-20.70
1162.43,-21.34
1162.43,-21.02
1162.43,-21.13
1162.43,-21.78
1162.44,-21.24
1162.45,-21.34
1162.45,-20.91
1162.45,-20.81
1162.45,-20.59
1162.45,-20.91
1162.45,-21.45
1162.45,-20.91
1162.45,-21.13
1162.45,-19.40
1162.46,-20.59
1162.46,-20.91
1162.46,-22.10
1162.46,-21.02
1162.46,-21.45
1162.46,-21.24
1162.46,-19.62
1162.46,-18.97
1162.46,-20.81
1162.47,-20.91
1162.47,-21.02
1162.47,-21.56
1162.47,-21.24
1162.47,-21.02
1162.47,-21.56
1162.47,-20.91
